type,host_time,imu_time_us,x,y,z,i,j,k,real,accuracy
RV,1782148465.890757,5347836,,,,-0.03949,0.134644,0.557556,0.818176,1.131592
LA,1782148465.8935006,5347836,-0.207031,0.125,-0.222656,,,,,
RV,1782148465.897852,5352436,,,,-0.039856,0.134644,0.558167,0.817749,1.131592
RV,1782148465.990671,5522014,,,,-0.04657,0.131653,0.571228,0.808838,1.131592
RV,1782148466.0893,5567813,,,,-0.051208,0.124695,0.574036,0.807617,1.131836
LA,1782148466.0943024,5567813,0.023438,0.128906,-0.144531,,,,,
RV,1782148466.0971391,5572613,,,,-0.052002,0.124756,0.573975,0.807617,1.131836
LA,1782148466.1027176,5572613,-0.074219,0.144531,-0.070312,,,,,
RV,1782148466.1053853,5577613,,,,-0.052917,0.124756,0.573975,0.807617,1.131836
LA,1782148466.1112003,5577613,-0.03125,0.191406,0.015625,,,,,
RV,1782148466.116728,5582813,,,,-0.053894,0.124695,0.573914,0.807617,1.131836
LA,1782148466.1189904,5582813,-0.105469,0.214844,0.089844,,,,,
RV,1782148466.124821,5587813,,,,-0.054871,0.124512,0.573853,0.807617,1.131836
LA,1782148466.1283505,5587813,-0.289062,0.191406,0.167969,,,,,
RV,1782148466.1329653,5592313,,,,-0.055725,0.124329,0.573792,0.807617,1.131836
LA,1782148466.1357744,5592313,-0.128906,0.128906,0.167969,,,,,
RV,1782148466.1413069,5597613,,,,-0.056763,0.124023,0.57373,0.807617,1.131836
LA,1782148466.143957,5597613,-0.082031,0.105469,0.167969,,,,,
RV,1782148466.147912,5602813,,,,-0.057678,0.123718,0.573608,0.807678,1.131836
RV,1782148466.2408164,5771139,,,,-0.064331,0.119751,0.573486,0.807861,1.13208
RV,1782148466.3389356,5817560,,,,-0.064331,0.121155,0.573853,0.807373,1.13208
LA,1782148466.344483,5817560,-0.042969,0.0625,-0.253906,,,,,
RV,1782148466.3472385,5822960,,,,-0.064514,0.121277,0.573853,0.807373,1.13208
LA,1782148466.352088,5822960,-0.042969,-0.050781,-0.246094,,,,,
RV,1782148466.3576078,5827960,,,,-0.064636,0.121338,0.573792,0.807373,1.13208
LA,1782148466.360361,5827960,-0.082031,-0.242188,-0.167969,,,,,
RV,1782148466.3657374,5833160,,,,-0.064758,0.12146,0.57373,0.807373,1.13208
LA,1782148466.3688092,5833160,-0.066406,-0.203125,-0.128906,,,,,
RV,1782148466.3743281,5837760,,,,-0.064941,0.121582,0.573669,0.807373,1.13208
